"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US06055","Napa County, California","139417","*****","91316","*****","72193","364","2185","582","267","236","12192","869","202","249","359","364","3918","1035","115","187","3803","1017","48101","*****","34243","4007","52","86","744","772","57","93","0","211","11076","3862","1929","1089","1033","714","896","608"
"0500000US06059","Orange County, California","3185968","*****","2097717","*****","1271280","3081","52756","3063","5677","1655","660343","5643","9549","1723","8488","3001","89624","7840","4759","2430","84865","7208","1088251","*****","651711","16778","7116","2010","7536","2236","6078","1794","647","462","370165","16647","44998","5031","21934","3492","23064","3559"
"0500000US06061","Placer County, California","393149","*****","337123","*****","282545","467","6738","1119","1776","584","30547","1508","667","467","755","467","14095","2211","33","69","14062","2229","56026","*****","40251","2906","0","211","252","226","270","336","0","211","11238","2997","4015","1530","1696","887","2319","1005"
"0500000US06065","Riverside County, California","2450758","*****","1236313","*****","844367","2378","150753","3980","11569","1406","158705","3855","6288","1729","7506","2365","57125","5667","3841","2193","53284","4959","1214445","*****","642076","19910","9312","2996","5761","1657","4477","1453","1495","946","505007","20533","46317","5954","26639","4498","19678","3617"
"0500000US06067","Sacramento County, California","1540975","*****","1179657","*****","679244","754","147050","3958","4903","1312","244175","5630","17638","911","4248","1353","82399","8249","1663","825","80736","8105","361318","*****","194861","10972","5211","1801","6645","2563","4176","1340","737","352","115812","10313","33876","4084","15408","3107","18468","3094"
"0500000US06071","San Bernardino County, California","2171603","*****","999678","*****","604263","1126","170058","5047","7899","1705","152494","3602","6321","981","3280","1183","55363","7589","2528","1120","52835","7435","1171925","*****","716316","18958","8697","2331","11393","3450","4942","1593","587","433","380205","17775","49785","7356","25280","5704","24505","4513"
"0500000US06073","San Diego County, California","3343364","*****","2208016","*****","1506449","1795","159725","3560","13878","1429","392916","6920","12823","1530","5189","1554","117036","8057","2005","1127","115031","8122","1135348","*****","867134","13950","11683","2924","6568","1829","8829","2196","1120","713","182651","11759","57363","6056","28291","4685","29072","3845"
"0500000US06075","San Francisco County, California","883305","*****","748641","*****","353507","979","43953","1872","1187","687","301051","4782","2085","1214","3259","1334","43599","5543","1667","866","41932","5420","134664","*****","47220","5456","1933","1130","1121","635","1744","823","41","69","68664","5545","13941","3068","7589","2394","6352","1728"
"0500000US06077","San Joaquin County, California","752660","*****","437089","*****","233360","264","52745","2078","1281","580","118346","3471","4023","820","1028","940","26306","3783","537","380","25769","3769","315571","*****","202928","9139","2251","1013","3279","1211","2446","1129","328","365","46104","6685","58235","7306","6081","1857","52154","7399"
"0500000US06079","San Luis Obispo County, California","284010","*****","219236","*****","194417","450","4709","926","1366","516","9749","1144","235","194","714","617","8046","1338","313","422","7733","1350","64774","*****","53810","2647","414","365","365","217","516","397","0","211","6042","1824","3627","1569","1486","860","2141","1301"
"0500000US06081","San Mateo County, California","769545","*****","582435","*****","295149","2299","15601","1484","1604","575","224111","3009","8478","1000","4817","2524","32675","3454","1208","632","31467","3353","187110","*****","90137","8740","773","537","1485","1546","2334","1116","309","336","75882","8759","16190","3273","6595","1638","9595","2579"
"0500000US06083","Santa Barbara County, California","446527","*****","241841","*****","195842","509","9100","772","2380","599","23802","1082","129","145","834","482","9754","1497","198","214","9556","1531","204686","*****","154134","6887","271","448","3822","1728","1120","771","371","501","34558","6113","10410","3152","3813","2397","6597","2466"
